KR,KRR,DR,DRR,AR,ARR,Ps,Psv,Qs,x,y,z,vx,vy,vz
0.1979487038628583,0.0033632082376393833,0.21964732249844163,0.001188250506494685,0.3924774940632825,0.0020343811897405146,6,0.1,-7,-6330283.8785729855,3307380.3235027683,128019.93954425825,-3438.1682121727217,-6632.915143230344,-235.47058033753885
0.3051336804597683,0.003529454890256199,0.2835946897227155,0.0012371739138942052,0.43383124625476954,0.0022558543018709764,6,0.1,-8,-6330059.963235759,3307862.659210136,128042.65573154614,-3438.583875315919,-6632.674894600176,-235.5377081242732
0.2793093886597662,0.0034814588390103367,0.335499059815573,0.001435570942889561,0.3778578394890418,0.001609710232948053,6,0.1,-9,-6330026.314495699,3308000.053712525,128053.17151046576,-3438.74760839726,-6632.560975887973,-235.54144765972896
0.2781284674296418,0.003479403970038937,0.3365179944820814,0.0014396029342369741,0.37670991879081034,0.0015909084345295688,6,0.1,-10,-6330025.883068538,3308002.2618106175,128053.38512656372,-3438.7503267537645,-6632.559001945937,-235.5414903934342
0.2781163487591746,0.0034793829163920504,0.33652826333715063,0.0014396435237674747,0.37669835215889863,0.0015907166850569288,6,0.1,-11,-6330025.878718832,3308002.2840249473,128053.38727551619,-3438.7503541178367,-6632.558982090798,-235.54149082028547
0.27811628032014163,0.0034793827954970984,0.3365283624865525,0.0014396439343476075,0.3766982551760539,0.0015907151324186279,6,0.1,-12,-6330025.878533001,3308002.284723935,128053.38730351813,-3438.750354766846,-6632.558981591948,-235.54149084906274
0.19754161832892528,0.0033381177879558744,0.21943568823496087,0.0011872660169793795,0.39191811735449633,0.0020297401897441713,7,0.1,-7,-6330284.247235426,3307380.791737754,128020.66377839014,-3438.168496307834,-6632.914414311006,-235.4701870517767
0.2955023964931731,0.0034888277649445464,0.28283729917959977,0.0012341771286931095,0.4291399510642918,0.0022097262397002505,7,0.1,-8,-6330077.506644907,3307841.9096214576,128049.67109549975,-3438.5666367185054,-6632.677236638491,-235.53089923352996
0.26743514522521705,0.0034376784484332927,0.3335158681381229,0.0014262254583690722,0.3752587664173885,0.0015640649455042769,7,0.1,-9,-6330059.451271532,3307939.5912531917,128061.44268328695,-3438.6978663635277,-6632.584973247036,-235.5315523703744
0.19746576168852337,0.0033465150136827364,0.2195214647135193,0.00118761955859876,0.39233369262516304,0.0020344548387690575,5,0.1,-7,-6330283.930851975,3307380.3374303062,128020.11625216069,-3438.168231270326,-6632.915082666387,-235.47046043033262
0.3040520192467223,0.00351216293648642,0.28341351419382926,0.001236529010324643,0.4334073598919433,0.0022530897027556946,5,0.1,-8,-6330061.246293753,3307861.0216458365,128043.25606567318,-3438.582549566736,-6632.6751643632215,-235.5371308683621
0.27803070803108765,0.003463740705293445,0.33524538387512776,0.0014345577511019163,0.37760377583190086,0.0016075522755301605,5,0.1,-9,-6330028.59281661,3307995.8198713697,128053.83678916472,-3438.744154871552,-6632.562685559387,-235.54068112314562
0.2768450108714621,0.003461674556952978,0.3362623992186838,0.0014385775775654,0.3764618357248951,0.0015887838975202468,5,0.1,-10,-6330028.209415402,3307997.8865875606,128054.0509014859,-3438.7467610126055,-6632.560794768831,-235.54071567888047
0.2768328704326074,0.003461653436489218,0.3362726401724243,0.0014386180131770207,0.3764503360179477,0.001588592661189167,5,0.1,-11,-6330028.205507507,3307997.9074954037,128054.05304947757,-3438.7467873116184,-6632.560775694369,-235.54071603703147
0.2768326893598229,0.0034616531228724226,0.3362727659754594,0.00143861849366373,0.3764501978195623,0.00158859029624194,5,0.1,-12,-6330028.20563765,3307997.907247567,128054.05307970318,-3438.7467872278876,-6632.560775752736,-235.5407160107105
6.374309569020541,0.035638261533718664,3.518070848604577,0.020858364806392093,3.8554273692515286,0.02654380578043274,5,1.1,-7,-6329854.321569367,3306090.007028539,127336.4035920134,-3437.4569149539907,-6634.388501754621,-235.50436873829682
16.87810351799754,0.07876748152645711,9.463111258520868,0.04897759459214684,15.878415845371107,0.09409567837850774,5,1.1,-8,-6318080.598509308,3306326.2896933127,125393.42135609366,-3442.302212819049,-6643.690532263996,-237.46838102257638
42.679519084042845,0.19105517196089614,19.9121708608969,0.09165326524304264,25.16418065330423,0.15991609999759013,5,1.1,-9,-6258722.2343786955,3421057.349229295,129167.1609477224,-3547.170575572867,-6587.436834503254,-240.7284615311546
44.96672825587577,0.20135633889847707,20.875497211125527,0.0958279378319491,25.50489110164605,0.16322324011969389,5,1.1,-10,-6251667.977378618,3434819.2788936,129644.84199310535,-3559.4746536904836,-6580.397318758052,-241.19296477797434
44.991892448026654,0.20146995615199395,20.88596087302397,0.0958734964249821,25.508448974478444,0.16325836951781808,5,1.1,-11,-6251588.759153533,3434973.535322476,129650.2146131098,-3559.612515871788,-6580.318203181227,-241.19820626345825
44.99214435565851,0.20147109355569956,20.886065603780867,0.09587395244701404,25.50848455384463,0.16325872091354143,5,1.1,-12,-6251587.965939861,3434975.0797347296,129650.26839692649,-3559.6138961923875,-6580.3174110953505,-241.19825877574368
0.1979487038628583,0.0033632082376393833,0.21964732249844163,0.001188250506494685,0.3924774940632825,0.0020343811897405146,6,0.1,-7,-6330283.8785729855,3307380.3235027683,128019.93954425825,-3438.1682121727217,-6632.915143230344,-235.47058033753885
0.3051336804597683,0.003529454890256199,0.2835946897227155,0.0012371739138942052,0.43383124625476954,0.0022558543018709764,6,0.1,-8,-6330059.963235759,3307862.659210136,128042.65573154614,-3438.583875315919,-6632.674894600176,-235.5377081242732
0.2793093886597662,0.0034814588390103367,0.335499059815573,0.001435570942889561,0.3778578394890418,0.001609710232948053,6,0.1,-9,-6330026.314495699,3308000.053712525,128053.17151046576,-3438.74760839726,-6632.560975887973,-235.54144765972896
0.2781284674296418,0.003479403970038937,0.3365179944820814,0.0014396029342369741,0.37670991879081034,0.0015909084345295688,6,0.1,-10,-6330025.883068538,3308002.2618106175,128053.38512656372,-3438.7503267537645,-6632.559001945937,-235.5414903934342
0.2781163487591746,0.0034793829163920504,0.33652826333715063,0.0014396435237674747,0.37669835215889863,0.0015907166850569288,6,0.1,-11,-6330025.878718832,3308002.2840249473,128053.38727551619,-3438.7503541178367,-6632.558982090798,-235.54149082028547
0.27811628032014163,0.0034793827954970984,0.3365283624865525,0.0014396439343476075,0.3766982551760539,0.0015907151324186279,6,0.1,-12,-6330025.878533001,3308002.284723935,128053.38730351813,-3438.750354766846,-6632.558981591948,-235.54149084906274
