KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.13872655592186975,2.866356093834278e-05,0.08352182305577546,8.471137244629216e-05,0.05481032817094639,1.3115147821425521e-05,0,10,10
0.13872655592186975,2.866356093834278e-05,0.08346602593708284,8.471135945742618e-05,0.0543158378329276,1.318618382002652e-05,0,10,30
0.13872655592186975,2.866356093834278e-05,0.08341055738598617,8.471136324113283e-05,0.05383630461913008,1.3257510628515625e-05,0,10,50
0.13872655592186975,2.866356093834278e-05,0.08335541866157223,8.471138381487826e-05,0.053372131730973826,1.332912357102974e-05,0,10,70
0.13872655592186975,2.866356093834278e-05,0.08330060977141786,8.471142116649451e-05,0.05292372337358381,1.3401018053849258e-05,0,10,90
0.14143754883937945,2.895718968146533e-05,0.08355727101924296,8.471150778189911e-05,0.05507720770875859,1.311761406083407e-05,0,30,10
0.14143754883937945,2.895718968146533e-05,0.08350125964176382,8.471148595416491e-05,0.054575261469022356,1.3188653851155337e-05,0,30,30
0.14143754883937945,2.895718968146533e-05,0.08344557670825181,8.471148090364371e-05,0.054088064911908894,1.325998436042951e-05,0,30,50
0.14143754883937945,2.895718968146533e-05,0.08339022265628734,8.47114926282241e-05,0.05361602016687012,1.3331600915953153e-05,0,30,70
0.14143754883937945,2.895718968146533e-05,0.08333519833753333,8.471152113590247e-05,0.05315953091145094,1.3403498926461321e-05,0,30,90
0.14435969352111042,2.925471546215373e-05,0.08359281108747223,8.471164889627727e-05,0.0553472764185174,1.312005232940022e-05,0,50,10
0.14435969352111042,2.925471546215373e-05,0.08353658652027535,8.471161825753437e-05,0.054837991467916514,1.3191095737952972e-05,0,50,30
0.14435969352111042,2.925471546215373e-05,0.08348068979421616,8.471160438931073e-05,0.054343249919935305,1.3262429779110772e-05,0,50,50
0.14435969352111042,2.925471546215373e-05,0.08342512199501669,8.471160730500801e-05,0.05386345256782712,1.3334049779855483e-05,0,50,70
0.14435969352111042,2.925471546215373e-05,0.08336988319715245,8.471162699415454e-05,0.05339900228436742,1.3405951152548527e-05,0,50,90
0.14748046289024497,2.9556044745378104e-05,0.08362844199159343,8.471179575866634e-05,0.055620461889512335,1.3122462603937782e-05,0,70,10
0.14748046289024497,2.9556044745378104e-05,0.08357200502483517,8.471175633053616e-05,0.05510395436334116,1.3193509459512787e-05,0,70,30
0.14748046289024497,2.9556044745378104e-05,0.08351589579994632,8.471173367815612e-05,0.05460178523186352,1.3264846862042255e-05,0,70,50
0.14748046289024497,2.9556044745378104e-05,0.08346011466391966,8.471172779754505e-05,0.05411435371138355,1.3336470142218825e-05,0,70,70
0.14748046289024497,2.9556044745378104e-05,0.08340466247580798,8.471173869674118e-05,0.05364206159604559,1.3408374711058363e-05,0,70,90
0.1507875480175937,2.9861086385465957e-05,0.08366416206523299,8.471194832982532e-05,0.05589669258182885,1.3124844864207444e-05,0,90,10
0.1507875480175937,2.9861086385465957e-05,0.08360751385751572,8.471190014248438e-05,0.05537307750314626,1.319589499525287e-05,0,90,30
0.1507875480175937,2.9861086385465957e-05,0.08355119257339708,8.471186871933702e-05,0.054863597196508726,1.3267235589854286e-05,0,90,50
0.1507875480175937,2.9861086385465957e-05,0.08349519916411403,8.471185407047306e-05,0.05436864906655719,1.3338861981868904e-05,0,90,70
0.1507875480175937,2.9861086385465957e-05,0.08343953449796461,8.471185620414207e-05,0.053888633580084146,1.341076958366056e-05,0,90,90
0.08281968318055317,1.2893747758391505e-05,0.08008192218696827,5.68414017153821e-05,0.12188176447027557,1.2466292856682027e-05,10,10,10
0.08281968318055317,1.2893747758391505e-05,0.07998886309069134,5.683907322490152e-05,0.12091161554207966,1.2529472572814188e-05,10,10,30
0.08281968318055317,1.2893747758391505e-05,0.07989608143439567,5.683676899697861e-05,0.11994228355667551,1.2593040919831156e-05,10,10,50
0.08281968318055317,1.2893747758391505e-05,0.07980357862412704,5.6834489048016295e-05,0.11897378849965053,1.2656992035122429e-05,10,10,70
0.08281968318055317,1.2893747758391505e-05,0.07971135478331151,5.683223336673174e-05,0.11800615099854429,1.272132013888776e-05,10,10,90
0.08653891669097968,1.2753945294810549e-05,0.08014307888074512,5.684274136841009e-05,0.12238023851500843,1.2469643423675844e-05,10,30,10
0.08653891669097968,1.2753945294810549e-05,0.08004983550841326,5.684040000576763e-05,0.1214097006520635,1.253282898094598e-05,10,30,30
0.08653891669097968,1.2753945294810549e-05,0.07995686913260557,5.6838082904874684e-05,0.1204399699133358,1.2596403011333167e-05,10,30,50
0.08653891669097968,1.2753945294810549e-05,0.07986418058380058,5.683579006994493e-05,0.11947106597277421,1.2660359655232385e-05,10,30,70
0.08653891669097968,1.2753945294810549e-05,0.07977177079736521,5.683352150745277e-05,0.11850300912623256,1.2724693137723076e-05,10,30,90
0.09051339173495528,1.2620556762565936e-05,0.08020422415942925,5.6844085678767595e-05,0.12287812800669252,1.2472965578459735e-05,10,50,10
0.09051339173495528,1.2620556762565936e-05,0.08011079763357776,5.6841731482135775e-05,0.12190720665402247,1.2536156764240018e-05,10,50,30
0.09051339173495528,1.2620556762565936e-05,0.08001764733454787,5.683940153967878e-05,0.12093708277624987,1.2599736268819305e-05,10,50,50
0.09051339173495528,1.2620556762565936e-05,0.07992477442256304,5.683709586273376e-05,0.11996777573514099,1.2663698235910436e-05,10,50,70
0.09051339173495528,1.2620556762565936e-05,0.07983217976005684,5.6834814456166536e-05,0.11899930551551358,1.272803689356651e-05,10,50,90
0.09471101433514077,1.2493826158306509e-05,0.0802653568034661,5.684543459951474e-05,0.12337542782602413,1.24762592889496e-05,10,70,10
0.09471101433514077,1.2493826158306509e-05,0.08017174806057724,5.6843067603713525e-05,0.12240412832286149,1.2539455892406723e-05,10,70,30
0.09471101433514077,1.2493826158306509e-05,0.08007841508176924,5.6840724860714466e-05,0.1214336168109363,1.2603040662608252e-05,10,70,50
0.09471101433514077,1.2493826158306509e-05,0.07998535856996142,5.6838406372298164e-05,0.12046391235369339,1.2667007747777752e-05,10,70,70
0.09471101433514077,1.2493826158306509e-05,0.07989257976116652,5.683611215125854e-05,0.11949503461809328,1.27313513774325e-05,10,70,90
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.13623929489941128,2.8373925150525345e-05,0.08354237992154723,8.471126384402764e-05,0.05504839041823507,1.3041917260582628e-05,0,10,10
0.13623929489941128,2.8373925150525345e-05,0.08359861888860089,8.471130153312992e-05,0.0555644329885637,1.2971481394019126e-05,0,10,30
0.13623929489941128,2.8373925150525345e-05,0.08365518529010085,8.471135599741926e-05,0.05609444232169057,1.2901350963029942e-05,0,10,50
0.13623929489941128,2.8373925150525345e-05,0.08371207819142383,8.47114272269916e-05,0.05663802627652324,1.2831530979961371e-05,0,10,70
0.13623929489941128,2.8373925150525345e-05,0.08376929723700424,8.471151522598557e-05,0.057194797776222314,1.276202654939711e-05,0,10,90
0.13398820013494228,2.808838062053181e-05,0.08350690575851565,8.471113130406442e-05,0.05478062492915214,1.3039399382155719e-05,0,30,10
0.13398820013494228,2.808838062053181e-05,0.08356292959036522,8.471116011273154e-05,0.055289389276621734,1.2968967850700433e-05,0,30,30
0.13398820013494228,2.808838062053181e-05,0.08361928120552155,8.471120569684359e-05,0.0558123250692326,1.289884185604813e-05,0,30,50
0.13398820013494228,2.808838062053181e-05,0.08367595962876709,8.471126804599459e-05,0.056349037723419655,1.2829026415438813e-05,0,30,70
0.13398820013494228,2.808838062053181e-05,0.08373296492598513,8.471134717374126e-05,0.05689913733815486,1.2759526632386926e-05,0,30,90
0.1319853299367444,2.7807028008834974e-05,0.08347152762587003,8.47110046329821e-05,0.05451615194785835,1.3036853777295668e-05,0,50,10
0.1319853299367444,2.7807028008834974e-05,0.08352733542476617,8.471102453695664e-05,0.05501752035728888,1.2966426759650365e-05,0,50,30
0.1319853299367444,2.7807028008834974e-05,0.08358347107444014,8.471106121053678e-05,0.05553326640793252,1.2896305383764088e-05,0,50,50
0.1319853299367444,2.7807028008834974e-05,0.08363993487264071,8.471111467262334e-05,0.05606299325827533,1.2826494669001111e-05,0,50,70
0.1319853299367444,2.7807028008834974e-05,0.0836967250672202,8.471118489472031e-05,0.05660630836958769,1.2756999721056082e-05,0,50,90
0.13024210998659713,2.7529970306584667e-05,0.08343624692471559,8.471088386378156e-05,0.054255046290786424,1.3034280471712125e-05,0,70,10
0.13024210998659713,2.7529970306584667e-05,0.08349183756869359,8.471089483384121e-05,0.05474889997843312,1.2963858147901766e-05,0,70,30
0.13024210998659713,2.7529970306584667e-05,0.08354775711279017,8.471092259053925e-05,0.05525733889717338,1.2893741573512467e-05,0,70,50
0.13024210998659713,2.7529970306584667e-05,0.0836040044873843,8.471096712079874e-05,0.055779964174371185,1.282393576871585e-05,0,70,70
0.13024210998659713,2.7529970306584667e-05,0.08366057917046472,8.471102842456997e-05,0.05631638080981568,1.2754445844116271e-05,0,70,90
0.12876905910590927,2.7257312795261338e-05,0.08340106542876724,8.471076903826137e-05,0.05399738357446103,1.303167948968541e-05,0,90,10
0.12876905910590927,2.7257312795261338e-05,0.08345643812275913,8.471077105307459e-05,0.05448360273527363,1.2961262040018087e-05,0,90,30
0.12876905910590927,2.7257312795261338e-05,0.08351214013791877,8.471078985667163e-05,0.05498461600961114,1.2891150449151962e-05,0,90,50
0.12876905910590927,2.7257312795261338e-05,0.08356817038805112,8.471082543566805e-05,0.055500022706792336,1.2821349740753849e-05,0,90,70
0.12876905910590927,2.7257312795261338e-05,0.08362452843463383,8.471087779202268e-05,0.05602942557940124,1.2751865027805706e-05,0,90,90
0.09323993198235545,1.937443194607075e-05,0.05113603268714956,5.267539090177838e-05,0.15202501074112273,1.0645459870688974e-05,10,10,10
0.09323993198235545,1.937443194607075e-05,0.05123118062467794,5.267778481758557e-05,0.15298486892140137,1.0615838816407158e-05,10,10,30
0.09323993198235545,1.937443194607075e-05,0.05132674061710815,5.268020468099177e-05,0.15394530799168543,1.0586970804251358e-05,10,10,50
0.09323993198235545,1.937443194607075e-05,0.05142270984399122,5.268265047839726e-05,0.15490631713338887,1.0558862020620437e-05,10,10,70
0.09323993198235545,1.937443194607075e-05,0.051519086918283184,5.2685122212536655e-05,0.15586788578819985,1.0531518550865631e-05,10,10,90
0.09185549273420843,1.949241091400667e-05,0.051073983911904604,5.267409726957757e-05,0.15155272131141048,1.0642878197630851e-05,10,30,10
0.09185549273420843,1.949241091400667e-05,0.05116884627160529,5.26764770889173e-05,0.15251217038187923,1.0613283361885834e-05,10,30,30
0.09185549273420843,1.949241091400667e-05,0.05126412185628138,5.267888285643962e-05,0.1534722073821875,1.0584441890250571e-05,10,30,50
0.09185549273420843,1.949241091400667e-05,0.05135980871217283,5.2681314569107944e-05,0.15443282133086136,1.0556359965990275e-05,10,30,70
0.09185549273420843,1.949241091400667e-05,0.05145590452207244,5.268377221858504e-05,0.1553940015141185,1.0529043675052465e-05,10,30,90
0.09082923772422413,1.9612223328820194e-05,0.05101202553467289,5.267280874778578e-05,0.15108011469821453,1.0640288275034474e-05,10,50,10
0.09082923772422413,1.9612223328820194e-05,0.05110660020200267,5.2675174429833675e-05,0.15203914884905018,1.0610720099484765e-05,10,50,30
0.09082923772422413,1.9612223328820194e-05,0.05120158962618659,5.267756606542605e-05,0.15299877808073747,1.0581905613261327e-05,10,50,50
0.09082923772422413,1.9612223328820194e-05,0.05129699173629054,5.2679983649017655e-05,0.15395899125125379,1.0553850997184627e-05,10,50,70
0.09082923772422413,1.9612223328820194e-05,0.05139280459445958,5.268242717764724e-05,0.15491977748951397,1.052656233397447e-05,10,50,90
0.09017336392271612,1.973385819114274e-05,0.0509501606638567,5.267152540057838e-05,0.15060719807478218,1.0637690195147996e-05,10,70,10
0.09017336392271612,1.973385819114274e-05,0.051044445124547866,5.267387690041525e-05,0.151565811395616,1.0608149123110135e-05,10,70,30
0.09017336392271612,1.973385819114274e-05,0.051139146818960424,5.2676254369151985e-05,0.1525250270715981,1.0579362067245609e-05,10,70,50
0.09017336392271612,1.973385819114274e-05,0.05123426234084975,5.267865778668468e-05,0.1534848337900234,1.0551335208091407e-05,10,70,70
0.09017336392271612,1.973385819114274e-05,0.051329790476877454,5.268108715773928e-05,0.15444522051803566,1.0524074625155366e-05,10,70,90
0.0898959452158775,1.985730445152063e-05,0.05088839190957304,5.2670247286465246e-05,0.15013397863418973,1.0635084051138796e-05,10,90,10
0.0898959452158775,1.985730445152063e-05,0.0509823848735738,5.267258457292309e-05,0.15109216512507503,1.0605570525933379e-05,10,90,30
0.0898959452158775,1.985730445152063e-05,0.051076795596601124,5.267494782161906e-05,0.15205096135994617,1.057681134810467e-05,10,90,50
0.0898959452158775,1.985730445152063e-05,0.051171622792116844,5.2677337036459665e-05,0.15301035586215103,1.054881269423135e-05,10,90,70
0.0898959452158775,1.985730445152063e-05,0.05126686320527933,5.2679752199106504e-05,0.15397033743214147,1.0521580644147206e-05,10,90,90
0.09442583858532758,1.8644754984886085e-05,0.06680870636633963,0.0001442802920317193,0.1257735049501605,1.069795194207219e-05,20,10,10
0.09442583858532758,1.8644754984886085e-05,0.06686790500811321,0.00014428089490957648,0.1267212308087864,1.0661736903757682e-05,20,10,30
0.09442583858532758,1.8644754984886085e-05,0.06692750255499376,0.00014428150735199506,0.1276698152832102,1.0626227386016403e-05,20,10,50
0.09442583858532758,1.8644754984886085e-05,0.06698749754175251,0.00014428212935414274,0.12861923935815772,1.0591430493353251e-05,20,10,70
0.09442583858532758,1.8644754984886085e-05,0.06704788935799175,0.00014428276091788038,0.12956948456184783,1.0557353279273693e-05,20,10,90
0.09592804658096259,1.878248616223812e-05,0.06677114330482033,0.00014427995981792642,0.12530788547548846,1.0695301024110346e-05,20,30,10
0.09592804658096259,1.878248616223812e-05,0.06683006807420441,0.00014428055747884062,0.12625502642458172,1.0659111622878137e-05,20,30,30
0.09592804658096259,1.878248616223812e-05,0.06688939238962598,0.00014428116470496406,0.12720303801424016,1.0623628085053991e-05,20,30,50
0.09592804658096259,1.878248616223812e-05,0.06694911519702483,0.00014428178149476363,0.12815190090673753,1.0588857514306163e-05,20,30,70
0.09592804658096259,1.878248616223812e-05,0.06700923572765699,0.0001442824078485865,0.1291015963156748,1.0554806963706204e-05,20,30,90
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-100,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-90,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-80,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-70,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-60,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-50,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-40,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-30,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-20,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-10,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,10,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,20,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,30,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,40,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,50,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,60,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,70,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,80,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,90,0,0
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-100,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-90,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-80,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-70,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-60,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-50,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-40,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-30,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-20,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,-10,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,10,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,20,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,30,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,40,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,50,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,60,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,70,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,80,0
